,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maxixe,-23.8597,-23.8597,22.31,89,0,4.03,MZ,1619562289
1,angoche,-16.2325,-16.2325,24.88,86,27,0.74,MZ,1619562114
2,rikitea,-23.1203,-23.1203,25.29,70,12,4.58,PF,1619562289
3,lagoa,39.05,39.05,15.38,81,100,6.13,PT,1619562290
4,vestmannaeyjar,63.4427,63.4427,7.08,78,47,8.72,IS,1619562290
5,valley city,46.9233,46.9233,16.0,44,1,3.09,US,1619562291
6,axim,4.8699,4.8699,27.88,82,77,4.57,GH,1619562291
7,albany,42.6001,42.6001,19.44,24,95,0.61,US,1619562292
8,geraldton,-28.7667,-28.7667,13.0,82,16,2.06,AU,1619562292
9,qaanaaq,77.484,77.484,3.71,93,100,2.0,GL,1619562081
10,new norfolk,-42.7826,-42.7826,8.89,91,91,1.35,AU,1619562293
11,bluff,-46.6,-46.6,9.44,78,100,4.02,NZ,1619562247
12,atbasar,51.8,51.8,15.88,79,100,8.16,KZ,1619562294
13,rosita,13.9268,13.9268,30.96,47,100,1.16,NI,1619562294
14,acapulco,16.8634,16.8634,29.0,70,20,4.63,MX,1619562295
15,katsuura,35.1333,35.1333,16.67,77,75,1.03,JP,1619562295
16,cayenne,4.9333,4.9333,24.44,94,0,0.51,GF,1619562296
17,atuona,-9.8,-9.8,26.47,72,96,6.24,PF,1619562296
18,arandis,-22.4167,-22.4167,16.11,89,0,0.89,NA,1619562297
19,sao filipe,14.8961,14.8961,22.66,76,12,5.48,CV,1619562297
20,belgrade,44.804,44.804,9.44,93,0,2.06,RS,1619562603
21,hearst,49.6835,49.6835,9.0,57,100,1.03,CA,1619562298
22,hermanus,-34.4187,-34.4187,14.44,91,100,2.77,ZA,1619562298
23,belomorsk,64.5232,64.5232,-1.22,78,100,1.47,RU,1619562299
24,norman wells,65.282,65.282,-3.0,28,75,7.2,CA,1619562300
25,yellowknife,62.456,62.456,-6.11,49,75,5.14,CA,1619562300
26,middletown,39.5151,39.5151,28.0,34,1,8.75,US,1619562301
27,butaritari,3.0707,3.0707,28.04,76,71,5.01,KI,1619562301
28,pereleshinskiy,51.7148,51.7148,1.0,86,0,3.0,RU,1619562302
29,tateyama,34.9833,34.9833,17.22,77,75,1.03,JP,1619562302
30,dajal,29.5577,29.5577,33.42,10,43,3.6,PK,1619562303
31,huaiyuan,32.973,32.973,13.45,72,78,2.5,CN,1619562303
32,mumford,5.2618,5.2618,28.18,83,88,5.35,GH,1619562304
33,mataura,-46.1927,-46.1927,9.44,78,100,4.02,NZ,1619562304
34,batagay,67.6333,67.6333,-8.18,89,100,2.47,RU,1619562305
35,lasem,-6.6922,-6.6922,24.22,84,42,2.75,ID,1619562305
36,longyearbyen,78.2186,78.2186,-9.0,79,90,1.54,SJ,1619562052
37,atima,14.9333,14.9333,32.0,37,75,3.09,HN,1619562306
